Image ID,Item Name,Cuisine,Continent,Is Hot (Temp),Has Meat,"Food Type [Key: Noodle/Pasta(1), Rice(2), Breads(3), Soup/Stew(4), Curry(5), Salad(6), Meat Based (7), Other(8)] "
39,American_Burger,American,Western,TRUE,TRUE,3
40,Clam_Chowder,American,Western,TRUE,TRUE,4
41,Poke_Bowl,American,Western,FALSE,TRUE,6
38,Buffalo_Wings,American,Western,TRUE,TRUE,7
42,Roast_Lamb,Australian,Western,TRUE,TRUE,7
21,Chow_Mein,Chinese,Asian,TRUE,TRUE,1
22,Sweet_and_Sour_Pork,Chinese,Asian,TRUE,TRUE,2
24,Hot_Pot,Chinese,Asian,TRUE,TRUE,4
23,Peking_Duck,Chinese,Asian,TRUE,TRUE,7
29,Ragu,French,Western,TRUE,TRUE,4
28,Ratatouille,French,Western,TRUE,FALSE,8
35,Chicken_Caesar_Salad,Greek,Western,FALSE,FALSE,6
36,Souvlaki,Greek,Western,TRUE,TRUE,7
37,Moussaka,Greek,Western,TRUE,TRUE,8
27,Chicken_Biryani,Indian,Asian,TRUE,TRUE,2
25,Butter_Chicken,Indian,Asian,TRUE,TRUE,5
26,Samosas,Indian,Asian,TRUE,FALSE,8
34,Gnocchi,Italian,Western,TRUE,FALSE,1
30,Spaghetti_Bolognese,Italian,Western,TRUE,TRUE,1
32,Risotto,Italian,Western,TRUE,TRUE,2
31,Pizza,Italian,Western,TRUE,TRUE,3
33,Ossobuco,Italian,Western,TRUE,TRUE,7
7,Ramen,Japanese,Asian,TRUE,TRUE,1
10,Bento_Box,Japanese,Asian,FALSE,TRUE,2
9,Omurice,Japanese,Asian,TRUE,FALSE,2
6,Sushi,Japanese,Asian,FALSE,TRUE,2
8,Takoyaki,Japanese,Asian,TRUE,TRUE,8
19,Japchae,Korean,Asian,FALSE,TRUE,1
17,Bimbimbap,Korean,Asian,TRUE,TRUE,2
20,Tteokbokki,Korean,Asian,TRUE,FALSE,2
18,Bulgogi_Beef,Korean,Asian,TRUE,TRUE,7
16,Korean_Fried_Chicken,Korean,Asian,TRUE,TRUE,7
44,Tacos,South American,Western,TRUE,TRUE,3
45,Enchiladas,South American,Western,TRUE,TRUE,8
46,Nachos,South American,Western,TRUE,TRUE,8
43,Paella,Spain,Western,TRUE,TRUE,2
1,Pad_Thai,Thai,Asian,TRUE,TRUE,1
3,Fried_Rice,Thai,Asian,TRUE,FALSE,2
2,Tom_Yum,Thai,Asian,TRUE,TRUE,4
5,Massaman_Curry,Thai,Asian,TRUE,TRUE,5
4,Green_Papaya_Salad,Thai,Asian,FALSE,TRUE,6
11,Pho,Vietnamese,Asian,TRUE,TRUE,1
14,Com_Tam,Vietnamese,Asian,TRUE,TRUE,2
15,Banh_Mi_Thit,Vietnamese,Asian,TRUE,TRUE,3
12,Banh_Xeo,Vietnamese,Asian,TRUE,TRUE,8
13,Rice_Paper_Rolls,Vietnamese,Asian,FALSE,TRUE,8
